run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target ;file name distracter;seq;HTyp
2;87;1;haus03;dis87;0;0;right;157;Fam27_023_3.jpg;Dis02_for_Fam27_023_3.jpg;32;3
2;88;2;haus04;dis88;0;0;left;29;Fam28_024_3.jpg;Dis02_for_Fam28_024_3.jpg;45;3
2;89;2;hauso5;dis89;0;0;right;157;Fam29_025_3.jpg;Dis02_for_Fam29_025_3.jpg;2;3
2;90;2;haus06;dis90;0;0;left;29;Fam30_026_3.jpg;Dis02_for_Fam30_026_3.jpg;28;3
2;91;3;haus07;dis91;0;0;right;157;Fam31_027_3.jpg;Dis02_for_Fam31_027_3.jpg;42;3
2;92;3;haus08;dis92;0;0;left;29;Fam32_028_3.jpg;Dis02_for_Fam32_028_3.jpg;36;3
2;93;3;haus09;dis93;0;0;right;157;Fam33_029_3.jpg;Dis02_for_Fam33_029_3.jpg;30;3
2;94;4;haus10;dis94;0;0;left;29;Fam34_030_3.jpg;Dis02_for_Fam34_030_3.jpg;40;3
2;95;4;haus11;dis95;0;0;right;157;Fam35_074_3.jpg;Dis02_for_Fam35_074_3.jpg;24;3
2;96;4;haus12;dis96;0;0;left;29;Fam36_082_3.jpg;Dis02_for_Fam36_082_3.jpg;41;3
2;97;1;haus01;dis97;0;0;right;157;Fam37_02_4.jpg;Dis02_for_Fam37_02_4.jpg;38;4
2;98;1;haus02;dis98;0;0;left;29;Fam38_07_4.jpg;Dis02_for_Fam38_07_4.jpg;27;4
2;99;1;haus03;dis99;0;0;right;157;Fam39_017_4.jpg;Dis02_for_Fam39_017_4.jpg;20;4
2;100;2;haus04;dis100;0;0;left;29;Fam40_023_4.jpg;Dis02_for_Fam40_023_4.jpg;13;4
2;101;2;hauso5;dis101;0;0;right;157;Fam41_028_4.jpg;Dis02_for_Fam41_028_4.jpg;6;4
2;102;2;haus06;dis102;0;0;left;29;Fam42_043_4.jpg;Dis02_for_Fam42_043_4.jpg;8;4
2;103;3;haus07;dis103;0;0;right;157;Fam43_054_4.jpg;Dis02_for_Fam43_054_4.jpg;32;4
2;104;3;haus08;dis104;0;0;left;29;Fam44_060_4.jpg;Dis02_for_Fam44_060_4.jpg;35;4
2;105;3;haus09;dis105;0;0;right;157;Fam45_066_4.jpg;Dis02_for_Fam45_066_4.jpg;27;4
2;106;4;haus10;dis106;0;0;left;29;Fam46_080_4.jpg;Dis02_for_Fam46_080_4.jpg;17;4
2;107;4;haus11;dis107;0;0;right;157;Fam47_086_4.jpg;Dis02_for_Fam47_086_4.jpg;15;4
2;108;4;haus12;dis108;0;0;left;29;Fam48_088_4.jpg;Dis02_for_Fam48_088_4.jpg;31;4
2;109;1;haus01;dis109;0;0;right;157;Fam49_03_5.jpg;Dis02_for_Fam49_03_5.jpg;20;5
2;110;1;haus02;dis110;0;0;left;29;Fam50_010_5.jpg;Dis02_for_Fam50_010_5.jpg;1;5
2;111;1;haus03;dis111;0;0;right;157;Fam51_014_5.jpg;Dis02_for_Fam51_014_5.jpg;26;5
2;112;2;haus04;dis112;0;0;left;29;Fam52_016_5.jpg;Dis02_for_Fam52_016_5.jpg;28;5
2;113;2;hauso5;dis113;0;0;right;157;Fam53_017_5.jpg;Dis02_for_Fam53_017_5.jpg;32;5
2;114;2;haus06;dis114;0;0;left;29;Fam54_029_5.jpg;Dis02_for_Fam54_029_5.jpg;27;5
2;115;3;haus07;dis115;0;0;right;157;Fam55_039_5.jpg;Dis02_for_Fam55_039_5.jpg;24;5
2;116;3;haus08;dis116;0;0;left;29;Fam56_052_5.jpg;Dis02_for_Fam56_052_5.jpg;20;5
2;117;3;haus09;dis117;0;0;right;157;Fam57_059_5.jpg;Dis02_for_Fam57_059_5.jpg;1;5
2;118;4;haus10;dis118;0;0;left;29;Fam58_066_5.jpg;Dis02_for_Fam58_066_5.jpg;11;5
2;119;4;haus11;dis119;0;0;right;157;Fam59_079_5.jpg;Dis02_for_Fam59_079_5.jpg;21;5
2;120;4;haus12;dis120;0;0;left;29;Fam60_084_5.jpg;Dis02_for_Fam60_084_5.jpg;4;5
3;121;1;haus01;dis121;0;0;left;157;Fam01_021_1.jpg;Dis03_for_Fam01_021_1.jpg;24;1
3;122;1;haus02;dis122;0;0;right;29;Fam02_022_1.jpg;Dis03_for_Fam02_022_1.jpg;18;1
3;123;1;haus03;dis123;0;0;left;157;Fam03_023_1.jpg;Dis03_for_Fam03_023_1.jpg;5;1
3;124;2;haus04;dis124;0;0;right;29;Fam04_024_1.jpg;Dis03_for_Fam04_024_1.jpg;5;1
3;125;2;hauso5;dis125;0;0;left;157;Fam05_025_1.jpg;Dis03_for_Fam05_025_1.jpg;10;1
3;126;2;haus06;dis126;0;0;right;29;Fam06_026_1.jpg;Dis03_for_Fam06_026_1.jpg;12;1
3;127;3;haus07;dis127;0;0;left;157;Fam07_027_1.jpg;Dis03_for_Fam07_027_1.jpg;2;1
3;128;3;haus08;dis128;0;0;right;29;Fam08_028_1.jpg;Dis03_for_Fam08_028_1.jpg;37;1
3;129;3;haus09;dis129;0;0;left;157;Fam09_029_1.jpg;Dis03_for_Fam09_029_1.jpg;9;1
3;130;4;haus10;dis130;0;0;right;29;Fam10_030_1.jpg;Dis03_for_Fam10_030_1.jpg;22;1
3;131;4;haus11;dis131;0;0;left;157;Fam11_063_1.jpg;Dis03_for_Fam11_063_1.jpg;34;1
3;132;4;haus12;dis132;0;0;right;29;Fam12_064_1.jpg;Dis03_for_Fam12_064_1.jpg;1;1
3;133;1;haus01;dis133;0;0;left;157;Fam13_021_2.jpg;Dis03_for_Fam13_021_2.jpg;28;2
3;134;1;haus02;dis134;0;0;right;29;Fam14_022_2.jpg;Dis03_for_Fam14_022_2.jpg;44;2
3;135;1;haus03;dis135;0;0;left;157;Fam15_023_2.jpg;Dis03_for_Fam15_023_2.jpg;25;2
