run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq;age
2;103;2;m13;dis103;male;caucasian;right;157;Fam43_05_16_m.jpg;Dis02_for_Fam43_05_16_m.jpg;32;16
2;104;1;m14;dis104;male;caucasian;left;29;Fam44_06_17_m.jpg;Dis02_for_Fam44_06_17_m.jpg;35;17
2;105;2;m15;dis105;male;caucasian;right;157;Fam45_06_18_m.jpg;Dis02_for_Fam45_06_18_m.jpg;27;18
2;106;4;m16;dis106;male;caucasian;left;29;Fam46_015_4_m.jpg;Dis02_for_Fam46_015_4_m.jpg;17;4
2;107;3;m17;dis107;male;caucasian;right;157;Fam47_016_5_m.jpg;Dis02_for_Fam47_016_5_m.jpg;15;5
2;108;4;m18;dis108;male;caucasian;left;29;Fam48_010_6_m.jpg;Dis02_for_Fam48_010_6_m.jpg;31;6
2;109;3;m19;dis109;male;caucasian;right;157;Fam49_012_7_m.jpg;Dis02_for_Fam49_012_7_m.jpg;20;7
2;110;4;m20;dis110;male;caucasian;left;29;Fam50_010_8_m.jpg;Dis02_for_Fam50_010_8_m.jpg;1;8
2;111;3;m21;dis111;male;caucasian;right;157;Fam51_015_9_m.jpg;Dis02_for_Fam51_015_9_m.jpg;26;9
2;112;4;m22;dis112;male;caucasian;left;29;Fam52_015_10_m.jpg;Dis02_for_Fam52_015_10_m.jpg;28;10
2;113;3;m23;dis113;male;caucasian;right;157;Fam53_010_11_m.jpg;Dis02_for_Fam53_010_11_m.jpg;32;11
2;114;4;m24;dis114;male;caucasian;left;29;Fam54_012_12_m.jpg;Dis02_for_Fam54_012_12_m.jpg;27;12
2;115;3;m25;dis115;male;caucasian;right;157;Fam55_013_13_m.jpg;Dis02_for_Fam55_013_13_m.jpg;24;13
2;116;4;m26;dis116;male;caucasian;left;29;Fam56_09_14_m.jpg;Dis02_for_Fam56_09_14_m.jpg;20;14
2;117;3;m27;dis117;male;caucasian;right;157;Fam57_04_15_m.jpg;Dis02_for_Fam57_04_15_m.jpg;1;15
2;118;4;m28;dis118;male;caucasian;left;29;Fam58_010_16_m.jpg;Dis02_for_Fam58_010_16_m.jpg;11;16
2;119;3;m29;dis119;male;caucasian;right;157;Fam59_010_17_m.jpg;Dis02_for_Fam59_010_17_m.jpg;21;17
2;120;4;m30;dis120;male;caucasian;left;29;Fam60_010_18_m.jpg;Dis02_for_Fam60_010_18_m.jpg;4;18
3;121;1;fam01;dis121;female;caucasian;left;157;Fam01_01_4_f.jpg;Dis03_for_Fam01_01_4_f.jpg;24;4
3;122;2;fam02;dis122;female;caucasian;right;29;Fam02_08_5_f.jpg;Dis03_for_Fam02_08_5_f.jpg;18;5
3;123;1;fam03;dis123;female;caucasian;left;157;Fam_03_02_6_f.jpg;Dis03_for_Fam_03_02_6_f.jpg;5;6
3;124;2;fam04;dis124;female;caucasian;right;29;Fam04_01_7_f.jpg;Dis03_for_Fam04_01_7_f.jpg;5;7
3;125;1;fam05;dis125;female;caucasian;left;157;Fam05_05_8_f.jpg;Dis03_for_Fam05_05_8_f.jpg;10;8
3;126;2;fam06;dis126;female;caucasian;right;29;Fam06_03_9_f.jpg;Dis03_for_Fam06_03_9_f.jpg;12;9
3;127;1;fam07;dis127;female;caucasian;left;157;Fam07_011_10_f.jpg;Dis03_for_Fam07_011_10_f.jpg;2;10
3;128;2;fam08;dis128;female;caucasian;right;29;Fam08_02_11_f.jpg;Dis03_for_Fam08_02_11_f.jpg;37;11
3;129;1;fam09;dis129;female;caucasian;left;157;Fam09_01_12_f.jpg;Dis03_for_Fam09_01_12_f.jpg;9;12
3;130;2;fam10;dis130;female;caucasian;right;29;Fam10_01_13_f.jpg;Dis03_for_Fam10_01_13_f.jpg;22;13
3;131;1;fam11;dis131;female;caucasian;left;157;Fam11_04_14_f.jpg;Dis03_for_Fam11_04_14_f.jpg;34;14
3;132;2;fam12;dis132;female;caucasian;right;29;Fam12_08_15_f.jpg;Dis03_for_Fam12_08_15_f.jpg;1;15
3;133;1;fam13;dis133;female;caucasian;left;157;Fam13_03_16_f.jpg;Dis03_for_Fam13_03_16_f.jpg;28;16
3;134;2;fam14;dis134;female;caucasian;right;29;Fam14_04_17_f.jpg;Dis03_for_Fam14_04_17_f.jpg;44;17
3;135;1;fam15;dis135;female;caucasian;left;157;Fam15_01_18_f.jpg;Dis03_for_Fam15_01_18_f.jpg;25;18
3;136;3;fam16;dis136;female;caucasian;right;29;Fam16_03_4_f.jpg;Dis03_for_Fam16_03_4_f.jpg;22;4
3;137;4;fam17;dis137;female;caucasian;left;157;Fam17_010_5_f.jpg;Dis03_for_Fam17_010_5_f.jpg;5;5
3;138;3;fam18;dis138;female;caucasian;right;29;Fam18_010_6_f.jpg;Dis03_for_Fam18_010_6_f.jpg;17;6
3;139;4;fam19;dis139;female;caucasian;left;157;Fam19_03_7_f.jpg;Dis03_for_Fam19_03_7_f.jpg;45;7
3;140;3;fam20;dis140;female;caucasian;right;29;Fam20_07_8_f.jpg;Dis03_for_Fam20_07_8_f.jpg;27;8
3;141;4;fam21;dis141;female;caucasian;left;157;Fam21_014_9_f.jpg;Dis03_for_Fam21_014_9_f.jpg;8;9
3;142;3;fam22;dis142;female;caucasian;right;29;Fam22_013_10_f.jpg;Dis03_for_Fam22_013_10_f.jpg;6;10
3;143;4;fam23;dis143;female;caucasian;left;157;Fam23_07_11_f.jpg;Dis03_for_Fam23_07_11_f.jpg;6;11
3;144;3;fam24;dis144;female;caucasian;right;29;Fam24_07_12_f.jpg;Dis03_for_Fam24_07_12_f.jpg;19;12
3;145;4;fam25;dis145;female;caucasian;left;157;Fam25_010_13_f.jpg;Dis03_for_Fam25_010_13_f.jpg;19;13
3;146;3;fam26;dis146;female;caucasian;right;29;Fam26_012_14_f.jpg;Dis03_for_Fam26_012_14_f.jpg;36;14
3;147;4;fam27;dis147;female;caucasian;left;157;Fam27_011_15_f.jpg;Dis03_for_Fam27_011_15_f.jpg;40;15
3;148;3;fam28;dis148;female;caucasian;right;29;Fam28_09_16_f.jpg;Dis03_for_Fam28_09_16_f.jpg;29;16
3;149;4;fam29;dis149;female;caucasian;left;157;Fam29_011_17_f.jpg;Dis03_for_Fam29_011_17_f.jpg;30;17
3;150;3;fam30;dis150;female;caucasian;right;29;Fam30_02_18_f.jpg;Dis03_for_Fam30_02_18_f.jpg;42;18
3;151;2;m01;dis151;male;caucasian;left;157;Fam31_06_4_m.jpg;Dis03_for_Fam31_06_4_m.jpg;43;4
3;152;1;m02;dis152;male;caucasian;right;29;Fam32_013_5_m.jpg;Dis03_for_Fam32_013_5_m.jpg;19;5
3;153;2;m03;dis153;male;caucasian;left;157;Fam33_03_6_m.jpg;Dis03_for_Fam33_03_6_m.jpg;3;6
3;154;1;m04;dis154;male;caucasian;right;29;Fam34_010_7_m.jpg;Dis03_for_Fam34_010_7_m.jpg;23;7
